NUM_CAS,ADREÇA,NUMERO,ESCALA,PIS,PORTA,CODI_POSTAL,POBLACIO,COMARCA,NOM_PROVINCIA,CODI_POBLACIO,CODI_COMARCA,CODI_PROVINCIA,REFERENCIA CADASTRAL,ZONA CLIMATICA,METRES_CADASTRE,ANY_CONSTRUCCIO,US_EDIFICI,Qualificació de consum d'energia primaria no renovable,Energia primària no renovable,Qualificacio d'emissions de CO2,Emissions de CO2,Consum d'energia final,Cost anual aproximat d'energia per habitatge,VEHICLE ELECTRIC,SOLAR TERMICA,SOLAR FOTOVOLTAICA,SISTEMA BIOMASSA,XARXA DISTRICTE,ENERGIA GEOTERMICA,INFORME_INS_TECNICA_EDIFICI,Eina de certificacio,VALOR AILLAMENTS,VALOR FINESTRES,Motiu de la certificacio,VALOR AILLAMENTS CTE,VALOR FINESTRES CTE,UTM_X,UTM_Y,Normativa construcció,Tipus Tramit,TIPUS_TERCIARI,Qualificació emissions calefacció,Emissions calefacció,Qualificació emissions refrigeració,Emissions refrigeració,Qualificació emissions ACS,Emissions ACS,Qualificació emissions enllumenament,Emissions enllumenament,Qualificació energia calefacció,Energia calefacció,Qualificació energia refrigeració,Energia refrigeració,Qualificació energia ACS,Energia ACS,Qualificació energia enllumenament,Energia enllumenament,Qualificació energia calefacció demanda,Energia calefacció demanda,Qualificació energia refrigeració demanda,Energia refrigeració demanda,VENTILACIO US RESIDENCIAL,LONGITUD,LATITUD,GEOREFERÈNCIA,REHABILITACIO_ENERGETICA,ACTUACIONS_REHABILITACIO,DATA_ENTRADA
5C68RXKHN,Partida Fontanet lo Curt,30,,,,25198,Lleida,Segrià,Lleida,25120,33,25,008054603880420001OG,D3,141,,Vivienda unifamiliar,E,341.2,E,69.18,,,NO,NO,NO,NO,NO,SI,,CE3X,,,Compra o Venta,0.6,2.7,,,Abans de 1979,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,07/03/2022
64B9JM9N,Calle SERRA D'OR,49,,1,3,43140,Pobla de Mafumet (La),Tarragonès,Tarragona,43109,36,43,9713425CF4691D0030BK,C3,74,,Vivienda individual en bloque de viviendas,D,104.2,D,20.27,,,NO,NO,NO,NO,NO,NO,,CE3X,,,Compra o Venta,0.75,3.1,,,CTE 2006,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,17/06/2021
ZQM8Z06YN,Carrer Esglèsia,9,,,,17483,Vilaür,Alt Empordà,Girona,17222,02,17,6359301DG9665N0001BW,C2,240,,Habitatge unifamiliar,G,331.62,G,86.53,,,,NO,NO,NO,,NO,,CE3X,,,Compra o Venda,0.75,3.1,,,Abans de 1979,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2015
DJ5Z074P2,Carrer Pous,13,,,,08192,Sant Quirze del Vallès,Vallès Occidental,Barcelona,08238,40,08,3485711DF2938N0001XE,C2,109,,Habitatge unifamiliar,C,128.18,C,26.8,,,NO,NO,NO,NO,NO,NO,,CE3X,,,Compravenda,0.75,3.1,,,CTE 2013,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,20/07/2021
77103217H01441112P0,"CARRER DE VIC,54",,,,,08552,Taradell,Osona,,082785,,,,,,,Habitatge unifamiliar,D,0,D,0,,,,NO,NO,,,,,CALIFICACIÓN DE EDIFICIOS DE VIVIENDAS CE2,,,,0,0,,,CTE (2006),Edificis en projecte,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/12/2012
RC14QGLVV,Avinguda Verge de Montalbà,14,,,,25263,Preixana,Urgell,Lleida,25176,38,25,6777101CG3067N0000HS,D3,141,,Habitatge unifamiliar,F,448.05,G,111.32,,,NO,NO,NO,NO,NO,NO,,CE3,,,Sol·licitud d'ajuts,0.6,2.7,,,NBE-CT-79,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,30/08/2021
91XN06QZR,Carrer SANT ANTONI,23,,BA,,08201,Sabadell,Vallès Occidental,Barcelona,08187,40,08,5702053DG2050B0001JD,C2,149,,Terciari,D,300.2,D,50.85,153.63,24.36,NO,NO,NO,NO,NO,NO,,CE3X,2.38,5.7,Lloguer,0.75,3.1,,,Abans de 1979,Edificis existents,Restauració,,,,,,,,,,,,,,,,,,,,,,,,,NO,,20/04/2021
LC25XZ1MP,Carrer Esplanes,10,,,,17722,Darnius,Alt Empordà,Girona,17060,02,17,6008620DG8960N0001HS,D2,171,,Habitatge unifamiliar,A,34.09,A,5.82,,,NO,NO,NO,NO,NO,NO,,CERMA,,,Nova construcció,0.6,2.7,,,CTE 2019,Edificis en projecte,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/02/2022
XR7YF7C82,Carrer Mary Santpere,14,,,,08390,Montgat,Maresme,Barcelona,08126,21,08,0520648DF4902B0001AS,C2,193,,Habitatge unifamiliar,D,123.52,C,20.92,,,NO,NO,NO,NO,NO,NO,,CE3X,,,Compravenda,0.75,3.1,,,CTE 2013,Edificis existents,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,08/07/2021
QYGF8XWR9,Disseminat La Coromina,8,,,,17153,Sant Martí de Llémena,Gironès,Girona,17172,20,17,000050800DG75C0001QJ,D2,320.99,,Habitatge unifamiliar,F,248.44,G,66.02,,,,NO,NO,NO,,NO,,CE3X,,,Lloguer,0.6,2.7,,,Abans de 1979,Edificis existents,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,22/07/2015
