City,Same_as_wikidata_city,Owner,Same_as_wikidata_Owner,Charging Station,Address,Longitude,Latitude,Number of connectors,Same_as_wikidata_N_Connector,Peripheral,Connector,Price,Same_as_wikidata_Price,Cables Annotation,Bookable,Schedule,Time limit
Alcobendas,https://www.wikidata.org/wiki/Q487679,"ITISFUN, S.L.U",,"ITISFUN, S.L.U_-3.656808_40.547812","Calle Marqués de la Valdavia, 140",-3.656808,40.547812,,,,nc_-3.656808_40.547812,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,EMOVILI,,EMOVILI_-3.651422_40.515532,"Plaza de la Moraleja, 9",-3.651422,40.515532,2,https://www.wikidata.org/wiki/Q200,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.651422_40.515532,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"NUEVA URBANIZADORA RESIDENCIAL, S.A.",,"NUEVA URBANIZADORA RESIDENCIAL, S.A._-3.647206_40.525138","Calle Caléndula, 13",-3.647206,40.525138,,,,nc_-3.647206_40.525138,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"CAMINOS DE PASOL, SLU",,"CAMINOS DE PASOL, SLU_-3.645178_40.5081","Camino del Cura, 10",-3.645178,40.5081,,,,nc_-3.645178_40.5081,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,EMOVILI,,EMOVILI_-3.641618_40.546535,"Avenida de España, 28",-3.641618,40.546535,2,https://www.wikidata.org/wiki/Q200,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.641618_40.546535,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,24 horas todos los días,2
Alcobendas,https://www.wikidata.org/wiki/Q487679,COMUNIDAD PROPIETARIOS ANABEL SEGURA,,COMUNIDAD PROPIETARIOS ANABEL SEGURA_-3.626132_40.532384,"Calle anabel Segura, 11",-3.626132,40.532384,,,,nc_-3.626132_40.532384,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"ENERGIA XXI COMERCIALIZADORA DE REFERENCIA, S.L.",https://www.wikidata.org/wiki/Q113464339,"ENDESA ENERGIA, S.A._-3.623017_40.537914","Avanida Rafael Nadal, 3",-3.623017,40.537914,,,,nc_-3.623017_40.537914,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Red Eléctrica de España,https://www.wikidata.org/wiki/Q113464348,"RED ELECTRICA DE ESPAÑA, S.A.U._-3.613768_40.524688","Paseo Conde de los Gaitanes, 177",-3.613768,40.524688,,,,nc_-3.613768_40.524688,,,,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,Acciona I+D_-3.65569_40.53069,"Calle Valportillo Segunda, 8",-3.65569,40.53069,1,https://www.wikidata.org/wiki/Q199,,nc_-3.65569_40.53069,,,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,Acciona Transmaditerranea_-3.657155_40.519326,"Av. de Europa, 10",-3.657155,40.519326,2,https://www.wikidata.org/wiki/Q200,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.657155_40.519326,,,No,No se puede reservar,De 7 a 19,
