Titular,Situación,Longitud,Latitud,Número de conectdores,Tipo de conectores,Precio,Cables y adaptadores,Reservar,Horario,Límite de tiempo
"ITISFUN, S.L.U",Calle Marqués de la Valdavia 140,-3.656808,40.547812,n/d,n/d,n/d,n/d,n/d,n/d,
EMOVILI,Plaza de la Moraleja 9,-3.651422,40.515532,2,TYPE 2 7.40kW,Gratuito,No,No se puede reservar,24 horas todos los días,
"NUEVA URBANIZADORA RESIDENCIAL, S.A.",Calle Caléndula 13,-3.647206,40.525138,n/d,n/d,n/d,n/d,n/d,n/d,
"CAMINOS DE PASOL, SLU",Camino del Cura 10,-3.645178,40.5081,n/d,,n/d,n/d,n/d,n/d,
EMOVILI,Avenida de España 28,-3.641618,40.546535,2,TYPE 2 7.40kW,Gratuito,No,No se puede reservar,24 horas todos los días,2 horas
COMUNIDAD PROPIETARIOS ANABEL SEGURA,Calle anabel Segura  11,-3.626132,40.532384,n/d,n/d,n/d,n/d,n/d,n/d,
"ENDESA ENERGIA, S.A.",Avanida Rafael Nadal 3 (aparcamiento del McDonalds),-3.623017,40.537914,n/d,n/d,n/d,n/d,n/d,n/d,
"RED ELECTRICA DE ESPAÑA, S.A.U.",Paseo Conde de los Gaitanes 177,-3.613768,40.524688,n/d,n/d,n/d,n/d,n/d,n/d,
Acciona I+D,"Calle Valportillo Segunda, 8",-3.65569,40.53069,1,n/d,n/d,No,n/d,24 horas todos los días,
Acciona Transmaditerranea,"Av. de Europa, 10E",-3.657155,40.519326 ,2,TYPE 2 22.00kW,n/d,No,No se puede reservar,De 7 a 19,
BBVA campus moraleja,"Calle Valgrande, 9",-3.649032,40.536064 ,3,"Schuko (EU Plug) 3.70kW
TYPE 1 (SAE J1772) 3.70kW
",Gratuito,No,Obligatorio,9:00h. a 21:30h,
Bricomart parking subterráneo,"Carr. de Fuencarral, 53",-3.6608542,40.5226938,9,TYPE 2 3.70kW,Gratuito,No,No se puede reservar,Lunes a viernes: 7:00-21:30 / Sábados: 7:30-22:00 / Domingos de apertura: 9:00-15:00 / Festivos de apertura: 7:00-21:30,
C. de Salamanca,"Calle de la Metalurgia, 1",-3.64952,40.530670 ,1,TYPE 2 7.40kW,Exclusivo para clientes,No,n/d,n/d,
Carrefour Alcobendas,"Carr. de Madrid a Burgos, Km 14,500",-3.6541821,40.5268882,2,TYPE 2 7.40kW,Gratuito,No,No se puede reservar,24 horas todos los días,
Center Car,"Calle Valgrande, 16",-3.65155,40.537986,1,TYPE 2 7.40kW,n/d,No,Recomendado,8-14h 15.30-18h,
Centro Comercial El Encinar,"Calle Vereda de Palacio, 10",-3.64323,40.51187,4,TYPE 2 22.00kW,0.35-0.40 €/KWH,No,No se puede reservar,n/d,
Colegio Aldovea,"Paseo de Alcobendas, 3,",-3.62615,40.52652,1,Schuko (EU Plug) 2.30kW,n/d,No,No se puede reservar,24 horas todos los días,
Creara/NL*LMS*P55887869,"Av. de la Industria, 32",-3.651594,40.534246,2,TYPE 2 22.00kW,Gratuito,No,n/d,24 horas todos los días,
Distrito Telefónica Pk. Sur-Este,RONDA DE LA COMUNICACIÓN S/N,-3.6661338,40.5150227,2,"Schuko (EU Plug) 2.30kW
TYPE 2 7.40kW
",Gratuito,No,No se puede reservar,Laborables de 6:45 a 21:00,
Estación de recarga ACCIONA-Bia en Moraleja Green,"Av. de Europa, 13",-3.65764,40.519896,2,TYPE 2 7.40kW,Gratuito,No,No se puede reservar,n/d,
