ID_CHARGEST,DISTRICT_ID,DISTRICT,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,WIKIDATA_NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR,WIKIDATA_OPERATOR
1,2,Arganzuela,https://wikidata.org/wiki/Q2000929,21,Imperial,https://wikidata.org/wiki/Q3773740,CALLE CHULAPOS,S/N,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
2,2,Arganzuela,https://wikidata.org/wiki/Q2000929,26,Palos de la Frontera,https://wikidata.org/wiki/Q521009,RONDA DE VALENCIA,1,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
3,3,Retiro,https://wikidata.org/wiki/Q2002296,32,Adelfas,https://wikidata.org/wiki/Q3774001,CALLE CERRO DE LA PLATA,4,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
4,3,Retiro,https://wikidata.org/wiki/Q2002296,35,Jerónimos,https://wikidata.org/wiki/Q10306766,CALLE ALFONSO XII,2,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
5,4,Salamanca,https://wikidata.org/wiki/Q1773521,41,Recoletos,https://wikidata.org/wiki/Q3814551,CALLE GOYA,36,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
6,4,Salamanca,https://wikidata.org/wiki/Q1773521,42,Goya,https://wikidata.org/wiki/Q3814578,CALLE GOYA,123,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
7,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,CALLE CASTELLÓ,105,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
8,4,Salamanca,https://wikidata.org/wiki/Q1773521,44,La Guindalera,https://wikidata.org/wiki/Q3814559,PLAZA DE SAN CAYETANO,S/N,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
9,10,Latina,https://wikidata.org/wiki/Q794954,106,Cuatro Vientos,https://wikidata.org/wiki/Q5191881,CALLE SINFONIA,9,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
10,5,Chamartín,https://wikidata.org/wiki/Q1766348,54,Hispanoamérica,https://wikidata.org/wiki/Q3814573,AVENIDA ALFONSO XIII,S/N,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
