ID_CHARGEST,DISTRICT_ID,DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR
1,2,Arganzuela,1,Imperial,Calle Chulapos s/n,,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
2,2,Arganzuela,6,Palos de Moguer,Ronda de Valencia 1,1,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
3,3,Retiro,2,Adelfas,Calle Cerro de la Plata 4,4,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
4,3,Retiro,5,Jerónimos,"Calle Alfonso XII, 2",2,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
5,4,Salamanca,1,Recoletos,Calle Goya 36,36,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
6,4,Salamanca,2,Goya,Calle Goya 123,123,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
7,4,Salamanca,6,Castellana,Calle Castelló 105,105,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
8,4,Salamanca,4,Guindalera,"Plaza de San Cayetano, s/n",,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
9,10,Latina,6,Cuatro Vientos,"Calle Sinfonia, 9 (ES Ballenoil Aviación)",9,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,DRIVE THE CITY
10,5,Chamartín,4,Hispanoamérica,"Avenida Alfonso XIII, esquina, Costa Rica",,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
11,4,Salamanca,6,Castellana,Calle Velázquez 74,74,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
12,4,Salamanca,6,Castellana,Paseo Castellana 52,52,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
13,5,Chamartín,1,El Viso,Paseo Castellana 106,106,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
14,5,Chamartín,4,Hispanoamérica,Paseo Castellana 160,160,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
15,5,Chamartín,6,Castilla,Calle Cardenal Marcelo Spínola 6,6,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
16,7,Chamberí,2,Arapiles,Calle Fernández de los Ríos 42,42,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
