PuntoRecargaID,PUNTORECARGAPERTENECEDIST,DISTPERTENECEBARRIO,COORDONNES,XCoord,YCoord,COD_DIS,DISTRITO,wikidata_distrito,COD_BAR,BARRIO,wikidata_barrio,UBICACION,EMPLAZAMIE,INFO_ADICI,N_EQUIPO,POTENCIA,CONECTOR CC,CONECTOR AC,OPERADOR
28341982,58970235,57498058,24620322,438893.73000000,4473226.26000000,2,Arganzuela,https://wikidata.org/entity/Q2000929,1,Imperial,https://wikidata.org/entity/Q3773740,Calle Chulapos s/n,Vía pública,-,1,50,2,1,REPSOL
38133680,17049726,30882538,11358264,440624.23000000,4473016.22000000,2,Arganzuela,https://wikidata.org/entity/Q2000929,6,Palos de la Frontera,https://wikidata.org/entity/Q521009,Ronda de Valencia 1,Vía pública,-,1,50,2,1,GIC
43761027,41852577,23710148,72169203,442701.58000000,4472363.01000000,3,Retiro,https://wikidata.org/entity/Q2002296,2,Adelfas,https://wikidata.org/entity/Q3774001,Calle Cerro de la Plata 4,Vía pública,-,1,50,2,1,GIC
74347265,30287535,85215124,14065813,441553.76000000,4474522.81000000,3,Retiro,https://wikidata.org/entity/Q2002296,5,Jerónimos,https://wikidata.org/entity/Q10306766,Calle Alfonso XII. 2,Vía pública,-,1,50,2,1,REPSOL
15942326,87185162,32704702,78232963,442227.27000000,4475141.53000000,4,Salamanca,https://wikidata.org/entity/Q1773521,1,Recoletos,https://wikidata.org/entity/Q3814551,Calle Goya 36,Vía pública,-,1,50,2,1,GIC
1322319,36736140,4373479,89992529,443066.59000000,4475108.89000000,4,Salamanca,https://wikidata.org/entity/Q1773521,2,Goya,https://wikidata.org/entity/Q3814578,Calle Goya 123,Vía pública,-,1,50,2,1,REPSOL
50448459,72140311,85169525,13638996,442261.15000000,4476262.44000000,4,Salamanca,https://wikidata.org/entity/Q1773521,6,Castellana,https://wikidata.org/entity/Q4781,Calle Castelló 105,Vía pública,-,1,50,2,1,GIC
46790495,82132703,25301542,64418224,443112.64990000,4476133.98000000,4,Salamanca,https://wikidata.org/entity/Q1773521,4,La Guindalera,https://wikidata.org/entity/Q3814559,Plaza de San Cayetano. s/n,Aparcamiento,Mercado Municipal,1,50,2,1,ENDESA
56583322,82368638,42420176,16002570,434058.48920000,4469583.39020000,10,Latina,https://wikidata.org/entity/Q794954,6,Cuatro Vientos,https://wikidata.org/entity/Q5191881,Calle Sinfonia. 9 (ES Ballenoil Aviación),Estación de servicio,-,1,50,2,1,DRIVE THE CITY
61420304,78236243,93054598,18982837,443390.46000000,4478901.39000000,5,Chamartín,https://wikidata.org/entity/Q1766348,4,Hispanoamérica,https://wikidata.org/entity/Q3814573,Avenida Alfonso XIII. esquina. Costa Rica,Estación de servicio,Aparcamiento público rotación. EMT,1,50,2,1,REPSOL
33942956,64850521,41388117,43573726,442015.28000000,4475633.05000000,4,Salamanca,https://wikidata.org/entity/Q1773521,6,Castellana,https://wikidata.org/entity/Q4781,Calle Velázquez 74,Vía pública,-,1,50,2,1,REPSOL
17206840,22119083,69637256,88807712,441650.00000000,4476325.00000000,4,Salamanca,https://wikidata.org/entity/Q1773521,6,Castellana,https://wikidata.org/entity/Q4781,Paseo Castellana 52,Vía pública,-,1,50,2,1,REPSOL
26134263,1892675,17934084,90719819,441420.49000000,4477426.85000000,5,Chamartín,https://wikidata.org/entity/Q1766348,1,El Viso,https://wikidata.org/entity/Q4778,Paseo Castellana 106,Vía pública,-,1,50,2,1,REPSOL
