XCoord;YCoord;COD_DIS;DISTRITO;COD_BAR;BARRIO;UBICACIÓN;EMPLAZAMIE;INFO_ADICI;Nº_EQUIPO;CARACTERÍ;OPERADOR;POINT_X;POINT_Y
438893,73000000;4473226,26000000;02;Arganzuela;1;Imperial;Calle Chulapos s/n;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;438893,730000;4473226,260000
440624,23000000;4473016,22000000;02;Arganzuela;6;Palos de Moguer;Ronda de Valencia 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;440624,230000;4473016,220000
442701,58000000;4472363,01000000;03;Retiro;2;Adelfas;Calle Cerro de la Plata 4;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;442701,580000;4472363,010000
441553,76000000;4474522,81000000;03;Retiro;5;Jerónimos;Calle Alfonso XII, 2;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441553,760000;4474522,810000
442227,27000000;4475141,53000000;04;Salamanca;1;Recoletos;Calle Goya 36;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;442227,270000;4475141,530000
443066,59000000;4475108,89000000;04;Salamanca;2;Goya;Calle Goya 123;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;443066,590000;4475108,890000
442261,15000000;4476262,44000000;04;Salamanca;6;Castellana;Calle Castelló 105;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;442261,150000;4476262,440000
443112,64990000;4476133,98000000;04;Salamanca;4;Guindalera;Plaza de San Cayetano, s/n;Aparcamiento;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;443112,649900;4476133,980000
434058,48920000;4469583,39020000;10;Latina;6;Cuatro Vientos;Calle Sinfonia, 9 (ES Ballenoil Aviación);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;434058,489200;4469583,390200
443390,46000000;4478901,39000000;05;Chamartín;4;Hispanoamérica;Avenida Alfonso XIII, esquina, Costa Rica;Estación de servicio;Aparcamiento público rotación. EMT;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;443390,460000;4478901,390000
442015,28000000;4475633,05000000;04;Salamanca;6;Castellana;Calle Velázquez 74;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;442015,280000;4475633,050000
441650,00000000;4476325,00000000;04;Salamanca;6;Castellana;Paseo Castellana 52;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441650,000000;4476325,000000
441420,49000000;4477426,85000000;05;Chamartín;1;El Viso;Paseo Castellana 106;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441420,490000;4477426,850000
441528,45000000;4478870,20000000;05;Chamartín;4;Hispanoamérica;Paseo Castellana 160;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441528,450000;4478870,200000
443204,66000000;4479841,35000000;05;Chamartín;6;Castilla;Calle Cardenal Marcelo Spínola 6;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;443204,660000;4479841,350000
439847,45000000;4476302,27000000;07;Chamberí;2;Arapiles;Calle Fernández de los Ríos 42;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;439847,450000;4476302,270000
440038,83000000;4475778,21000000;07;Chamberí;2;Arapiles;Plaza del Conde de Valle de Suchil;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;440038,830000;4475778,210000
440694,00000000;4475775,00000000;07;Chamberí;3;Trafalgar;Calle Manuel Silvela 16;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;440694,000000;4475775,000000
441794,82990000;4478935,75020000;05;Chamartín;5;Nueva España;Avenida Alberto Alcocer, 11;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;441794,829900;4478935,750200
440607,26000000;4476613,59000000;07;Chamberí;3;Trafalgar;Calle Santa Engracia 115;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;440607,260000;4476613,590000
441547,43000000;4475930,09000000;07;Chamberí;4;Almagro;Paseo Castellana 33;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;441547,430000;4475930,090000
441683,60000000;4480640,99000000;08;Fuencarral - El Pardo;5;La Paz;Calle de Sinesio Delgado 2;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;441683,600000;4480640,990000
444431,81000000;4478363,82000000;15;Ciudad Lineal;6;San Juan Bautista;Calle Bueso Pineda 29;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;444431,810000;4478363,820000
439749,07000000;4473590,81000000;01;Centro;1;Palacio;Plaza de la Cebada;Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);DRIVE THE CITY;439749,070000;4473590,810000
441796,67000000;4479756,43000000;05;Chamartín;5;Nueva España;Calle Mateo Inurria, 4;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441796,670000;4479756,430000
439921,87000000;4479217,94000000;06;Tetuán;6;Berruguete;Calle Ofelia Nieto, 64;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;439921,870000;4479217,940000
443805,23000000;4483684,43000000;08;Fuencarral - El Pardo;6;Valverde;Calle del Abetal 8;Estación de servicio;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;443805,230000;4483684,430000
435728,68000000;4479193,77000000;09;Moncloa - Aravaca;3;Ciudad Universitaria;CRED HIpodromoCR A-6  P.K. 8,00 D (avda Padre Huidobro sn);Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;435728,680000;4479193,770000
