ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,same_as_distrito,BARRIO-INSTALACION,same_as_barrio,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA
11768814,12 Festival de Cine social de las Californias,Gratuito,1,1,"L,M,X,J,V,S,D",,2022-09-30T00:00:00Z,2022-10-02T23:59:00Z,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=154f346a6e033810VgnVCM1000001d4a900aRCRD,Cine de verano en Retiro. Junio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41c750fb77cfe710VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=14ec3abc4be2e210VgnVCM1000000b205a0aRCRD,Parque Martin Luther King,2,CALLE,CERRO NEGRO,1,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,28007,443131,4472170,40.398195733324194,-3.6701340560704026,/contenido/actividades/CineActividadesAudiovisuales,
11768163,15ª Edición Mi primer Festival de Cine,Más información sobre precios y programación en próximas fechas.,0,1,"S,D",,2022-11-05T00:00:00Z,2022-11-20T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4fd9afbfa0423810VgnVCM1000001d4a900aRCRD,15ª Edición Mi primer Festival de Cine,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3e9afbfa0423810VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,439759,4475508,40.42802889001877,-3.710182353581842,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
11768199,36º Certamen Coreográfico de Madrid,Más información sobre precios y programación en próximas fechas.,0,1,"L,M,X,J,V,S,D",,2022-12-07T00:00:00Z,2022-12-11T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a0bafbfa0423810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,439759,4475508,40.42802889001877,-3.710182353581842,/contenido/actividades/DanzaBaile,
11773394,4ª jornada Festival Octubre negro en Madrid,Gratuito,1,0,,,2022-10-04T00:00:00Z,2022-10-04T23:59:00Z,,"Programa la cuarta jornada - martes 4 de octubre.  En la biblioteca Iván de Vargas, volvemos a contar con un elenco de lujo: médicos forenses, inspectores de policía, ex agentes de inteligencia, psiquiatras y psicólogos, historiadores y primeras firmas literarias.al que se irán sumando otros nombres ilustres de la cultura de la talla de Luis Alberto de Cuenca, Fernando Sánchez Dragó, Luis Antonio de Villena, el doctor José Cabrera, José Luis Muñoz, Carmen Baena Salamanca y un larguísimo etc.  El acceso es libre hasta completar aforo.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2cb13d647d043810VgnVCM1000001d4a900aRCRD,Festival Octubre negro en Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d8d23845db33810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),"1,6",CALLE,SAN JUSTO,5,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,28005,439775,4473962,40.41410290844665,-3.7098591212735883,/contenido/actividades/ConferenciasColoquios,
11779923,5 Segundos y 120 Kilos,Gratuito,1,0,,,2022-10-22T00:00:00Z,2022-10-22T23:59:00Z,19:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7509ca22fd953810VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),1,CALLE,SAN ROMÁN DEL VALLE,8,San Blas,https://wikidata.org/entity/Q2001937,Arcos,https://wikidata.org/entity/Q9627876,28037,447255,4474591,40.42027705095574,-3.621741078700336,/contenido/actividades/TeatroPerformance,
11773395,5ª jornada Festival Octubre negro en Madrid,Gratuito,1,0,,,2022-10-05T00:00:00Z,2022-10-05T23:59:00Z,,"Programa la quinta jornada - miércoles 5 de octubre.  En la biblioteca Iván de Vargas, volvemos a contar con un elenco de lujo: médicos forenses, inspectores de policía, ex agentes de inteligencia, psiquiatras y psicólogos, historiadores y primeras firmas literarias.al que se irán sumando otros nombres ilustres de la cultura de la talla de Luis Alberto de Cuenca, Fernando Sánchez Dragó, Luis Antonio de Villena, el doctor José Cabrera, José Luis Muñoz, Carmen Baena Salamanca y un larguísimo etc.  El acceso es libre hasta completar aforo.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fb13d647d043810VgnVCM1000001d4a900aRCRD,Festival Octubre negro en Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d8d23845db33810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal Iván de Vargas (Centro),"1,6",CALLE,SAN JUSTO,5,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,28005,439775,4473962,40.41410290844665,-3.7098591212735883,/contenido/actividades/ConferenciasColoquios,
11731709,6º Concurso de relatos Cuarto y Mitad: 'Estaba en un libro',Gratuito,1,1,"L,M,X,J,V,S,D",,2022-08-22T00:00:00Z,2022-10-09T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d98a590d22f1810VgnVCM1000001d4a900aRCRD,6ª Edición del concurso de relatos Cuarto y Mitad: 'Estaba en un libro',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9e9af7f171f1810VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),"1,6",CALLE,BARCELO,4,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,28004,440645,4475347,40.426642215368176,-3.699722994908341,/contenido/actividades/ConcursosCertamenes,
11772251,AbeceDanza 1,5 euros,0,1,S,22/10/2022;29/10/2022;12/11/2022;19/11/2022;26/11/2022;,2022-10-15T00:00:00Z,2022-12-03T23:59:00Z,12:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=06e74db637c33810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Espacio Abierto Quinta de los Molinos,"1,6",CALLE,JUAN IGNACIO LUCA DE TENA,20,San Blas,https://wikidata.org/entity/Q2001937,Salvador,https://wikidata.org/entity/Q10367095,28027,446636,4477644,40.44774002225867,-3.6292874542291638,/contenido/actividades/DanzaBaile,
11772254,AbeceDanza 2,5 euros,0,1,S,22/10/2022;29/10/2022;12/11/2022;19/11/2022;26/11/2022;,2022-10-15T00:00:00Z,2022-12-03T23:59:00Z,17:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7508fec79ff33810VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=80ddc8acadd56610VgnVCM2000001f4a900aRCRD,Espacio Abierto Quinta de los Molinos,"1,6",CALLE,JUAN IGNACIO LUCA DE TENA,20,San Blas,https://wikidata.org/entity/Q2001937,Salvador,https://wikidata.org/entity/Q10367095,28027,446636,4477644,40.44774002225867,-3.6292874542291638,/contenido/actividades/DanzaBaile,"/usuario/Niños,/usuario/Familias"
11769963,Acciones para el frío,Más información sobre precios y programación en próximas fechas.,0,0,,,2022-11-19T00:00:00Z,2022-11-19T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2914e1c8cc533810VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,28015,439759,4475508,40.42802889001877,-3.710182353581842,,/usuario/Familias
