codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2017-38,Pública,Madrid,CALLE de Ríos Rosas 23 BAJA ,28003,INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA JUNTO AL SERVICIO MÉDICO,440663,4477077,24 HORAS
2017-55,Pública,Boadilla del Monte,CALLE de Isabel II 26  ,28660,JUZGADO DE PAZ EN EL HALL DE ENTRADA,425269,4473564,DE 8:00 A 16:00 DE LUNES A VIERNES
2017-56,Pública,Boadilla del Monte,CALLE de Juan Carlos I 42  ,28660,SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA,425413,4473275,24 HORAS  365 DIAS
2017-57,Pública,Boadilla del Monte,CALLE del Convento 10  ,28660,BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA,425577,4473257,DE LUNES A VIERNES DE 9:00 A 22:00
2017-58,Pública,Boadilla del Monte,AVDA SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA S/N  ,28660,AVENIDA DE ADOLFO SUAREZ S/N,425598,4473109,DE LUNES A VIERNES DE 2:00 A 20:00
2017-119,Pública,Navalcarnero,PLAZA de Francisco Sandoval Caballero 1  ,28600,AYUNTAMIENTO DE NAVALCARNERO EN EL HALL DE ENTRADA,413706,4460531,9:00 A 14:00 HORAS
2017-121,Pública,Navalcarnero,PLAZA del Teatro s/n  ,28600,POLICÍA LOCAL ,413855,4460388,
2017-129,Pública,Navalcarnero,CALLE del Río Ebro s/n  ,28600,PABELLÓN CUBIERTO LA ESTACIÓN HALL DE RECEPCIÓN,414399,4460907,SEGÚN ACTIVIDADES
2017-130,Pública,Navalcarnero,CALLE Juan Antonio Zenón S/N  ,28600,POLIDEPORTIVO MUNICIPAL EL PIJORRO ,413304,4460258,9:00 A 23:00
2017-135,Pública,Coslada,CALLE de la Virgen del Mar S/N baja ,28821,ENTRADA POR AVENIDA DEL PLANTÍO. EN ANTESALA DE ASEOS PROFESORES I.E.S. LUIS GARCÍA BERLANGA (Coslada),452271,4475706,LUNES A JUEVES 8:30 A 18:00. VIERNES 8:30 A 14:30
2017-160,Pública,Madrid,CALLE de Nicolás Cabrera 1  ,28049,CENTRO DE BIOLOGÍA MOLECULAR SEVERO OCHOA CAMPUS UAM CANTOBLANCO . CAMPUS UAM ENTRADA PRINCIPAL CBM,441455,4488971,8:00 A 18:00 HORAS
2017-173,Pública,Madrid,CALLE de Maqueda 8  ,28024,ESCUELA POLITÉCNICA GINER CENTRO ESPAÑOL DE TECNOLOGÍA APLICACA,435023,4471800,
2017-175,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
2017-176,Pública,Madrid,AVDA de Puerta de Hierro 1  ,28040,FACULTAD DE VETERINARIA UNIVERSIDAD COMPLUTENSE DE MADRID,437616,4477626,
