tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,same_as_wikidata_municipio,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Rios Rosas 23 BAJA ,CALLE,Rios Rosas,23,BAJA,,28003,INSTITUTO GEOLOGICO Y MINERO DE ESPANA JUNTO AL SERVICIO MEDICO,440663,4477077,24 HORAS,2017-38
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,PASEO de la Castellana 182  ,PASEO,Castellana,182,,,28046,MAKIBER ,441610,4479170,DE 08:00 A 20:00 HORAS,2017-39
Centro de trabajo con mas de 250 trabajadores,Privada,014,Arganda del Rey,https://wikidata.org/entity/Q497692,CALLE Laton 3 1ª ,CALLE,Laton,3,1ª,,28500,TETRAPACK ENVASES SA AREA DE OFICINA DE JEFES DE TURNO,460489,4461360,,2017-41
Centro educativo,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Monasterio de Las Huelgas 15  ,CALLE,Monasterio de Las Huelgas,15,,,28049,FUNDACION A LA PAR EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL JUNTO CONSERJE,439919,4483766,HORARIO LECTIVO,2017-48
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,https://wikidata.org/entity/Q1641013,CALLE de Isabel II 26  ,CALLE,Isabel II,26,,,28660,JUZGADO DE PAZ EN EL HALL DE ENTRADA,425269,4473564,DE 8:00 A 16:00 DE LUNES A VIERNES,2017-55
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,https://wikidata.org/entity/Q1641013,CALLE de Juan Carlos I 42  ,CALLE,Juan Carlos I,42,,,28660,SEDE ADMINISTRATIVA DEL AYUNTAMIENTO EN EL HALL DE ENTRADA,425413,4473275,24 HORAS  365 DIAS,2017-56
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,https://wikidata.org/entity/Q1641013,CALLE del Convento 10  ,CALLE,Convento,10,,,28660,BIBLIOTECA MUNICIPAL LA MILLONARIA EN EL HALL DE ENTRADA,425577,4473257,DE LUNES A VIERNES DE 9:00 A 22:00,2017-57
Establecimiento dependiente de una Administracion Publica,Publica,022,Boadilla del Monte,https://wikidata.org/entity/Q1641013,AVDA SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA S/N  ,AVDA,SEDE INSTITUCIONAL DEL AYUNTAMIENTO. HALL DE ENTRADA,S/N,,,28660,AVENIDA DE ADOLFO SUAREZ S/N,425598,4473109,DE LUNES A VIERNES DE 2:00 A 20:00,2017-58
Centro de trabajo con mas de 250 trabajadores,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE del Alto del Retiro 33  ,CALLE,Alto del Retiro,33,,,28051,IKEA ENSANCHE DE VALLECAS ,449406,4469024,,2017-98
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Somera 5  ,CALLE,Somera,5,,,28023,MACDONALDS ,431898,4480058,8-18,2017-99
