idpoi,title,layer,type,tipo,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8938,Callao,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Gregorio Espino, 58",36205,986279034,,Tiene capacidad para 54 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res229.jpg,42.2258448890199,-8.70914088908953,,es-ES
8939,Ree,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Sagunto, 57",36205,986275265,,Tiene capacidad para 40 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res230.jpg,42.2282376497474,-8.70195825636094,,es-ES
8767,Acuario,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Cervantes, 23",36201,986223015,,Tiene capacidad para 47 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res013.jpg,42.2350628895954,-8.71718847705442,,es-ES
8768,Angel,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Alberto Baltar, 3",36210,986298313,,Tiene capacidad para 48 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res016.jpg,42.2177444922526,-8.7360687811503,,es-ES
8769,Restaurante Marítimo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Montero Ríos, 36",36201,986431979,,Acogedor restaurante donde se puede degustar los pratos más típicos de la comida gallega.,,42.2404602237287,-8.72133793279272,,es-ES
8983,Bahía,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,Plaza da Pedra,36202,986449655,,Tiene capacidad para 36 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res286.jpg,42.239907,-8.725625,,es-ES
10282,Belalola,restaurantes,61,Cocina internacional,Restaurante italiano,"García Olloqui, 7",36202,,,,,42.24027332766675,-8.72438907623291,,es-ES
10262,Lume de Carozo,restaurantes,13,Tapas,Restaurante 1 Tenedor,"Joaquín Yáñez, 5 - Bajo",36202,986228346,http://www.lumedecarozo.com/,El restaurante fusiona la comida tradicional gallega con la cocina más creativa con el objetivo de sorprender a sus clientes con los más deliciosos platos. Dispone de gran variedad de menús.,http://www.turismodevigo.org/sites/turismodevigo/files/lume-de-carozo_img233458t0.jpg,42.23391930556614,-8.719024658203125,,es-ES
10261,Vaiche Boa,restaurantes,13,Tapas,Restaurante 1 Tenedor,"Joaquín Yáñez, 8 - Bajo",36202,661288201,,Nueva tapería en el casco viejo de Vigo. Productos frescos en un ambiente renovado e innovador.,http://www.turismodevigo.org/sites/turismodevigo/files/res290.jpg,42.23391930556614,-8.719024658203125,,es-ES
10249,La Comedia,restaurantes,13,Tapas,Restaurante de 1 Tenedor,"Calle Vázquez Varela, 50.",36205,886 118 466,http://www.lacomediavigo.es,"Desayunos, Menú del día. Tapas varias típicas, cocina casera. Capacidad aprox. salón principal 60 personas. Salón privado, aprox. 50 personas. (por reserva).",http://www.turismodevigo.org/sites/turismodevigo/files/lacomedia.jpg,42.2309422,-8.715305899999976,,es-ES
10250,La Pintxoteca,restaurantes,13,Tapas,Restaurante 1 Tenedor,"Sombrereiros, 2",36202,,,Excelentes tapas al más puro estilo vasco en pleno casco viejo de Vigo.,http://www.turismodevigo.org/sites/turismodevigo/files/res291.jpg,42.2384693,-8.726416599999993,,es-ES
10248,La Fiorella,restaurantes,61,Cocina internacional,Cocina italiana,"Rúa Carral, 30 bajo",36202,,,,http://www.turismodevigo.org/sites/turismodevigo/files/res500.jpg,42.2398859,-8.724824200000057,,es-ES
8971,A Chabola,restaurantes,7,Cocina gallega,Restaurante de 1 Tenedor,Praia Arealonga,36216,986453148,,Especialidad en comida típica gallega.,http://www.turismodevigo.org/sites/turismodevigo/files/res271.jpg,42.2641786623714,-8.6775287359834,,es-ES
8970,Barbantes,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Fontenla, 37",36331,986492061,,Tiene capacidad para 65 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res268.jpg,42.1964437470107,-8.78945435824598,,es-ES
8969,Barbantes,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Cuba, 3",36204,986416024,,Tiene capacidad para 14 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res266.jpg,42.2333496581577,-8.71612116027805,,es-ES
8968,Ensenada,restaurantes,57,Cocina española,Restaurante de 3 Tenedores,"Alfonso XIII, 9-11",36201,986449714,,Tiene capacidad para 64 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res265.jpg,42.2352356074978,-8.71544302878924,,es-ES
8967,Argentino,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Lepanto, 8",36201,986222026,www.hotelargentino.es,Tiene capacidad para 52 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res264.jpg,42.2345449122043,-8.7160497632248,,es-ES
8966,Compostela,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Plaza de Compostela, 6",36201,986432896,www.mesoncompostela.com,Tiene capacidad para 56 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res263.jpg,42.2390559787886,-8.72285930967866,,es-ES
8965,Zona Cero,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"México, 8",36204,986482504,,Tiene capacidad para 72 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res262.jpg,42.2336046889013,-8.71515322778057,,es-ES
8963,Washington,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Teixugueiras nº 19, local 25 D",36057,886128772,,Tiene capacidad para 47 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res260.jpg,42.210027015766,-8.75530522821184,,es-ES
8962,Vigomemorial-Hostelería,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Avda da Ponte,36213,986265280,,Tiene capacidad para 54 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res259.jpg,42.2099980427295,-8.67220018606879,,es-ES
8961,Verdemar,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Praia de Samil, 175",36212,986240814,www.hotelverdemar.es,Tiene capacidad para 28 comensales.,,42.2055551020531,-8.77674802926676,,es-ES
8960,El Ventanal,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"As Coutadas, s/n",36207,986413819,,Tiene capacidad para 32 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res257.jpg,42.1952491508451,-8.69770839596659,,es-ES
8959,Valle Regadas,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Travesía de Vigo, 23",36206,649459173,,Tiene capacidad para 48 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res256.jpg,42.2328140676195,-8.70744821013231,,es-ES
8972,Tapas Areal,restaurantes,13,Tapas,Restaurante de 1 Tenedor,"México, 36",36204,986418643,,Tiene capacidad para 50 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res273.jpg,42.2324490867894,-8.71596471966545,,es-ES
8973,María Manuela,restaurantes,13,Tapas,Restaurante de 2 Tenedores,"Praza de Compostela, 13",36201,886143162,,Tiene capacidad para 80 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res274.jpg,42.2391282265856,-8.72157866101649,,es-ES
8964,El Beso Vigo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Alfonso XIII, 12",36201,986422246,,Tiene capacidad para 26 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res261.jpg,42.2364777871945,-8.71713634120944,,es-ES
8985,O Pantón,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,Pescadería,36202,,,Tiene capacidad para 36 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res288.jpg,42.239921,-8.725724,,es-ES
8984,Casavella,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Pescadería, 1",36202,986227224,,Tiene capacidad para 36 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res287.jpg,42.239904,-8.725717,,es-ES
8982,Pizzerías Cambalache,restaurantes,10,Otros,Restaurante de 2 Tenedores,"Avda. de García Barbón, 25",36201,986447171,http://www.pizzeriascambalache.es/spa/default.php,Tiene capacidad para 126 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res285.jpg,42.2372853730822,-8.71793126493758,,es-ES
8981,Restaurante Bolboreta,restaurantes,10,Otros,Restaurante de 1 Tenedor,"Brasil, 46",36204,986471415,,Tiene capacidad para 80 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res283.jpg,42.2324190980785,-8.71355573718345,,es-ES
8980,Domino´s Pizza,restaurantes,10,Otros,Restaurante de 1 Tenedor,"Pizarro, 60",36204,986480210,www.dominospizza.es,Tiene capacidad para 73 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res282.jpg,42.2314670700447,-8.70929569665674,,es-ES
8975,Tapería Restaurante El Cortijo,restaurantes,13,Tapas,Restaurante de 1 Tenedor,"Rosalía de Castro, 59",36201,986229372,,Tiene capacidad para 58 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res276.jpg,42.2380595222033,-8.71291330742086,,es-ES
8979,Domino´s Pizza,restaurantes,10,Otros,Restaurante de 1 Tenedor,"Pza. de la Independencia, 5",36211,986232376,www.dominospizza.es,Tiene capacidad para 25 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res281.jpg,42.2233846742765,-8.73018765916169,,es-ES
8977,McDonald´s,restaurantes,10,Otros,Restaurante de 1 Tenedor,"C.C. Meixueiro, Autovía Rías Baixas saída 664",36214,986422656,www.mcdonalds.es,Especialidad en comida rápida,http://www.turismodevigo.org/sites/turismodevigo/files/res279.jpg,42.2183593223547,-8.68447447631656,,es-ES
8976,Burguer King,restaurantes,10,Otros,Restaurante de 1 Tenedor,"C. C. A Laxe - Cánovas del Castillo, 1",36208,986122155,www.burgerking.es,Tiene capacidad para 72 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res277.jpg,42.2406201943618,-8.72775928848587,,es-ES
8974,Asador Arévalo,restaurantes,58,Asador,Restaurante de 1 Tenedor,Avda. Europa 103,36212,986248360,http://www.asadorarevalo.es/,Tiene capacidad para 42 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res275.jpg,42.2108998180438,-8.77375799464361,,es-ES
8924,Papo's Navia,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Teixugueiras 28, bajo",36212,986112762,www.papos.es,Tiene capacidad para 33 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res209.jpg,42.2093177992234,-8.75732432176236,,es-ES
8923,Palo-Palo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Martin Codax, 20",36201,986439657,,Tiene capacidad para 40 comensales.,,42.2350674574815,-8.7169292077852,,es-ES
8922,Padrón,restaurantes,7,Cocina gallega,Restaurante de 1 Tenedor,"Sanjurjo Badía, 101",36207,986376003,,Especialidad en comida gallega,http://www.turismodevigo.org/sites/turismodevigo/files/res207.jpg,42.2466884954985,-8.7008680277217,,es-ES
8932,Don Sancho,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Plaza de Compostela, 19",36201,886142373,www.donsanchovigo.com,Tiene capacidad para 79 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res221.jpg,42.23961372174,-8.72093970015939,,es-ES
8925,Sal Negra,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Canceleiro, 9",36201,986228864,,Tiene capacidad para 45 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res213.jpg,42.2375686428699,-8.7142582640945,,es-ES
8926,Pedra Moura,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Carretera O Bao, 130",36208,986460543,,Tiene capacidad para 24 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res214.jpg,42.1951418711814,-8.78791943903351,,es-ES
8927,Pedrenda,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Brasil, 20",36204,986410614,,Tiene capacidad para 12 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res215.jpg,42.2331830547943,-8.71545070020793,,es-ES
8928,Pekin,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Venezuela, 13",36203,986471999,,Tiene capacidad para 70 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res216.jpg,42.2340817269696,-8.72298209440396,,es-ES
8929,Victoria,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Tomás Alonso, 117 baixo",33790,986297039,www.pecos-bill.com/servicios.htm,Tiene capacidad para 40 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res217.jpg,42.2236702038043,-8.73939709837612,,es-ES
8930,Pigmalión,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Castelar, 9",36201,986228270,,Tiene capacidad para 35 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res219.jpg,42.2402096843868,-8.72353228487648,,es-ES
8931,Pomodoro,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Severo Ochoa, 2",36202,986210648,,Tiene capacidad para 44 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res220.jpg,42.2288530167318,-8.73363291816645,,es-ES
8921,Ottes-2,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Paraguae, 10",36204,986421037,,Tiene capacidad para 44 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res206.jpg,42.2327421217487,-8.71606657096589,,es-ES
8920,Os tres Pes,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Jesús Fernández, 10",36205,986251729,,Tiene capacidad para 65 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res205.jpg,42.2304864165678,-8.70094941400906,,es-ES
8909,O Mercado,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Martínez Garrido, 98",36205,986261600,,Tiene capacidad para 56 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res192.jpg,42.225615657397,-8.70504198741872,,es-ES
8911,O Muiño,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Tranvía, 5",36215,986281684,,Tiene capacidad para 40 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res194.jpg,42.2233496704531,-8.67065862268323,,es-ES
8912,O Novo Polar,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"San Francisco, 57",36202,986437271,,Tiene capacidad para 14 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res195.jpg,42.2365306476474,-8.73054036601342,,es-ES
8913,O Rancheiro,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Baixada O Castelo, 70",36214,986423919,,Tiene capacidad para 50 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res196.jpg,42.2133918017054,-8.68422808979438,,es-ES
8915,O Rincón,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Manuel Núñez, 10",36203,986220265,,Tiene capacidad para 40 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res198.jpg,42.2349025719563,-8.72073440038409,,es-ES
8916,Tortiya!,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Travesía de Vigo, 233",36207,986252120,,Tiene capacidad para 40 comensales. Permanece cerrado los lunes.,http://www.turismodevigo.org/sites/turismodevigo/files/res199.jpg,42.2456871811128,-8.69433544210997,,es-ES
8917,O Salmón,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Camiño Milladas, 5",36205,986264089,,Tiene capacidad para 30 comensales.,,42.2232775430948,-8.70153069311951,,es-ES
8918,Orensano,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Avda. Zamora, 7",36203,986420757,,Tiene capacidad para 35 comensales. Permanece cerrado los miércoles.,http://www.turismodevigo.org/sites/turismodevigo/files/res203.jpg,42.2279064692498,-8.7211167385258,,es-ES
8919,Os Pepes,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Avda. Zamora, 96",36211,986420714,,Tiene capacidad para 45 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res204.jpg,42.2227739934252,-8.72704285962149,,es-ES
8933,Primavera,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Ronda de Don Bosco, 17",36202,986223006,,Tiene capacidad para 18 comensales. Permanece cerrado los sábados e los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res222.jpg,42.2353051765898,-8.72474766779498,,es-ES
8934,Rancho Argentino,restaurantes,58,Asador,Restaurante de 2 Tenedores,"Arenal, 18 - Local 2",36201,986422982,,Tiene capacidad para 50 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res223.jpg,42.2392568288401,-8.71870785811789,,es-ES
8949,Shangai,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Plaza de Compostela, 27",36201,986225888,,Tiene capacidad para 90 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res242.jpg,42.2395321153647,-8.72303780730945,,es-ES
8950,Sidrería Estribo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Ecuador, 38",36336,986418449,,Tiene capacidad para 30 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res243.jpg,42.2335671067619,-8.72032107141195,,es-ES
8951,Sobreira,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Plaea de Sobreira,36390,986490856,,Tiene capacidad para 60 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res244.jpg,42.1895956040992,-8.81031127027773,,es-ES
8952,Taberna del Puerto,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Las Avenidas, s/n-Club Náutico",36202,986220246,,Tiene capacidad para 34 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res246.jpg,42.2411429552962,-8.72467307830853,,es-ES
8953,Taboada,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"García Barbón, 71",36201,986222040,www.restaurantetaboada.com,Tiene capacidad para 50 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res247.jpg,42.2370972351955,-8.7148279115602,,es-ES
8954,Taboada 26,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Luis Taboada, 26",36201,986222168,,Tiene capacidad para 40 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res248.jpg,42.2399147111922,-8.72151390244939,,es-ES
8955,Tempo Restaurante do Marco,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Príncipe, 54",36202,886116415,,Tiene capacidad para 44 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res250.jpg,42.2359553971449,-8.72111131718478,,es-ES
8956,Basilio Toralla,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Praia de Canido, 217-B",36390,986490061,,Tiene capacidad para 28 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res251.jpg,42.1928817429487,-8.79789337723567,,es-ES
8957,Turista,restaurantes,7,Cocina gallega,Restaurante de 1 Tenedor,"Ribeira do Berbés, 27",36214,986222007,www.restauranteturista.es,Tiene capacidad para 8 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res253.jpg,42.2373301046046,-8.72916207686991,,es-ES
8958,A Lareira das Irmáns,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Piñeiro, 56",36207,986373388,,Tiene capacidad para 22 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res254.jpg,42.2517815770992,-8.70275191977136,,es-ES
8947,Seijo,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,Avda. Madrid (Cabral),36318,986279303,www.restauranteseijo.com,Tiene capacidad para 80 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res240.jpg,42.2130023507443,-8.67158416062848,,es-ES
8946,Saratoga,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Pizarro, 11",36204,986410782,,Tiene capacidad para 24 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res238.jpg,42.2298357807375,-8.71806359326152,,es-ES
8945,Casa Saillo,restaurantes,58,Asador,Restaurante de 1 Tenedor,"Ctra. Vieja de Madrid, 66",36214,986275804,,Tiene capacidad para 50 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res236.jpg,42.218006596648,-8.6914049162457,,es-ES
8948,Señor,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Travesía de Vigo, 10",36206,986252311,,Tiene capacidad para 48 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res241.jpg,42.2320375900495,-8.70805008350867,,es-ES
8935,Rancho Grande,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Aragón, 222",36207,986271866,,Tiene capacidad para 34 comensales. Permanece cerrado los domingos.,http://www.turismodevigo.org/sites/turismodevigo/files/res224.jpg,42.2421025769561,-8.69824655849436,,es-ES
8936,Reguera,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"República Argentina, 4",36201,986225019,www.restaurantereguera.es,Tiene capacidad para 80 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res227.jpg,42.2387800093208,-8.71956815723729,,es-ES
8937,Reposo del Pescador,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"Torrecedeira, 3",36202,986434930,,Tiene capacidad para 28 comensales. Permanece cerrado los sábados.,http://www.turismodevigo.org/sites/turismodevigo/files/res228.jpg,42.2351703667804,-8.73078576002285,,es-ES
8940,Rías Baixas,restaurantes,57,Cocina española,Restaurante de 2 Tenedores,"Avda. García Barbón, 16",36201,986223041,,Tiene capacidad para 20 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res231.jpg,42.2389860544992,-8.71951748435884,,es-ES
8941,Rías Baixas-2,restaurantes,57,Cocina española,Restaurante de 1 Tenedor,"García Barbón, 21 Esq.Rep.Arg.",36201,986225145,www.riasbaixas2.com,Tiene capacidad para 93 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res232.jpg,42.2373833355177,-8.71812514881939,,es-ES
8942,Rías Gallegas I,restaurantes,60,Marisquería,Restaurante de 1 Tenedor,"Real, 51",36202,986442022,http://marisqueriariasgallegas.com/,Tiene capacidad para 88 comensales.,http://www.turismodevigo.org/sites/turismodevigo/files/res233.jpg,42.2380124377267,-8.72880186206862,,es-ES
