PK;NOMBRE;PDF;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
302283;"Almacenes Rodríguez";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302283.pdf?idEdificio=0b08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0b08f7d9560a4510f7d9560a45102e085a0aRCRD";"CABALLERO DE GRACIA";"Calle";"V";"3";"";"";"";"";"MADRID";"MADRID";"28013";"";"SOL";"";"CENTRO";"440537";"4474579";"40.419716000547446";"-3.700924275126349";"";"";"";""; 
11072416;"Antigua Fábrica Martini &amp; Rossi";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/11072416.pdf?idEdificio=aae94d07192ae610VgnVCM1000001d4a900aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=aae94d07192ae610VgnVCM1000001d4a900aRCRD";"ARAGON";"AVENIDA";"V";"328";"";"";"";"";"MADRID";"MADRID";"28022";"";"REJAS";"";"SAN BLAS-CANILLEJAS";"450421";"4477812";"40.449487715157105";"-3.5846718811400415";"";"";"";""; 
303994;"Ateneo de Madrid";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/303994.pdf?idEdificio=4218f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=4218f7d9560a4510f7d9560a45102e085a0aRCRD";"PRADO";"Calle";"V";"21";"";"";"";"";"MADRID";"MADRID";"28014";"";"CORTES";"";"CENTRO";"440750";"4474098";"40.41539811494639";"-3.698368894119228";"";"";"";""; 
302440;"Banco Bilbao Vizcaya Argentaria";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302440.pdf?idEdificio=2e08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2e08f7d9560a4510f7d9560a45102e085a0aRCRD";"ALCALÁ";"Calle";"V";"16";"";"";"";"";"MADRID";"MADRID";"28014";"";"CORTES";"";"CENTRO";"440759";"4474522";"40.417345829900306";"-3.69956773930541";"";"";"";""; 
325808;"Banco de España";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/325808.pdf?idEdificio=2228f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2228f7d9560a4510f7d9560a45102e085a0aRCRD";"ALCALÁ";"Calle";"V";"48";"";"";"";"";"MADRID";"MADRID";"28014";"";"CORTES";"";"CENTRO";"441032";"4474393";"40.418075647306665";"-3.6950725920539";"";"";"";""; 
302279;"Banco Matritense";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302279.pdf?idEdificio=8a08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=8a08f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"22";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440596";"4474627";"40.42015262123508";"-3.7002333412022166";"";"";"";""; 
307083;"Basílica Pontificia de San Miguel";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/307083.pdf?idEdificio=e518f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=e518f7d9560a4510f7d9560a45102e085a0aRCRD";"SAN JUSTO";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28005";"";"PALACIO";"";"CENTRO";"439790";"4473973";"40.41420531493721";"-3.7096614825254437";"";"";"";""; 
11071963;"Biblioteca Central de la UNED Madrid";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/11071963.pdf?idEdificio=131c28649e1ae610VgnVCM2000001f4a900aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=131c28649e1ae610VgnVCM2000001f4a900aRCRD";"SENDA DEL REY";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28008";"";"CASA DE CAMPO";"";"MONCLOA-ARAVACA";"437917";"4476038";"40.43267260040589";"-3.731936574991669";"";"";"";""; 
11073375;"Biblioteca Pública Usera José Hierro";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/11073375.pdf?idEdificio=e7daf2ef5c6ae610VgnVCM2000001f4a900aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=e7daf2ef5c6ae610VgnVCM2000001f4a900aRCRD";"RAFAELA YBARRA";"AVENIDA";"V";"43";"";"";"";"";"MADRID";"MADRID";"28026";"";"PRADOLONGO";"";"USERA";"439681";"4470386";"40.38188230129181";"-3.7106157111470615";"";"";"";""; 
317685;"Bolsa de Madrid";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/317685.pdf?idEdificio=8d18f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=8d18f7d9560a4510f7d9560a45102e085a0aRCRD";"LEALTAD";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28014";"";"LOS JERONIMOS";"";"RETIRO";"441277";"4474257";"40.416869058196646";"-3.6921641190883117";"";"";"";""; 
