PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7805;"Centro de Turismo Plaza Mayor";"Madrid cuenta en el Salón de Columnas de la Casa de la Panadería de la céntrica Plaza Mayor con uno de los más modernos centros turísticos del país que ofrece atención especializada con una plantilla de profesionales expertos en turismo e idiomas que atiende personalmente a los visitantes y da respuesta también a todas las peticiones de información que se realizan de manera no presencial. Centro de turismo cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Horario de atención al público de 9:30 a 20:30 horas, todos los días del año. Horario taquilla: martes a domingo de 10:30 a 14:30 y de 16:30 a 20:30 h. Lunes cerrado.";"Atención presencial en varios idiomas  Atención especializada  Servicio de atención no presencial (teléfono 915 787 810 y email turismo@esmadrid.com) Atención por Whatsapp 619 111 094 Autoconsulta con folletos descargables mediante código QR Wifi gratuita Taquilla de Teatros Municipales (abierta de martes a domingo, de 10:30 a 14:30 y de 16:30 a 20:30 horas) Punto de venta del Madrid City Tour (solo pago con tarjeta de crédito)  Tienda con recuerdos y artesanías madrileñas (solo pago con tarjeta de crédito)   Accesibilidad:     Programa de visitas guiadas accesibles (previa reserva)     Lengua de Signos Española     Bucles magnéticos (3)     Encaminamientos podotáctiles     Apoyos isquiáticos     Plano háptico     Mostrador adaptado     Guía de Turismo Accesible     Área tecnológica: Audiovisuales  El Centro de Turismo de Plaza Mayor está certificado en la UNE 170001-2 de Accesibilidad Universal.";"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 17, 18, 23, 31, 50, 65  Renfe: Sol (líneas C3, C4)  Bicimad: Estaciones 31  (calle Mayor, 20),  32 (plaza Provincia , 1 )    Parking: Plaza Mayor (55), Plaza Mayor";"";"1,4,5,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b0a093e5fd61c010VgnVCM1000000b205a0aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"Casa de la Panadería";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"439983";"4474154";"40.41583855082183";"-3.7074257084323636";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
11209095;"Centro de Turismo de Sol. Comunidad de Madrid";"";"De lunes a sábado de 9 a 20 horas. Domingos y festivos de 9 a 14 horas. Cerrado 1 enero, 1 mayo y 25 diciembre.";"";"Metro: Sol (línea 1, 2, 3)  Bus: 002, M1, SE712  Renfe: Sol (C3, C3a, C4)  Bicimad: Estación 33 (calle Carretas, 8) / Estación 1 a y b (Puerta del Sol, 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ff104fc413c3710VgnVCM2000001f4a900aRCRD";"PUERTA DEL SOL";"PLAZA";"V";"5";"";"";"";"";"MADRID";"MADRID";"28013";"6";"SOL";"1";"CENTRO";"440372";"4474236";"40.41661777543638";"-3.702829899539909";"912 723 400";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10692696;"Madrid Film Office";"Madrid Film Office es un servicio público del Ayuntamiento de Madrid que tiene como misión promocionar la ciudad como escenario de rodaje de producciones audiovisuales, asistir a las empresas y a los profesionales que eligen la ciudad de Madrid para llevar a cabo sus proyectos, apoyar al sector audiovisual madrileño y estimular la inversión y el desarrollo local. Madrid Film Office colabora desde la fase de preproducción para facilitar la búsqueda de localizaciones, te asesora en materia de permisos y te acompaña durante el desarrollo de los proyectos audiovisuales en la ciudad de Madrid. La oficina está abierta a consultas y solicitudes de asistencia por vía telefónica o email. Si deseas una atención presencial, solicita cita previa a través del correo electrónico info@madridfilmoffice.com.";"Horario de trabajo de la oficina: de 9 a 16 horas.";"Funciones que presta  La oficina ofrece los siguientes servicios básicos a los productores que desean rodar en Madrid:  1. Ayuda en la búsqueda de localizaciones para rodajes  Apoyo en la búsqueda de localizaciones que se adecúen a las necesidades de las producciones y asesoría en el terreno de la logística de producción y postproducción a desarrollar en Madrid. Madrid Film Office cuenta con un catálogo con sugerencias de localizaciones para rodajes en la ciudad de Madrid: https://madridfilmoffice.com/localizaciones/.   2. Orientación en la gestión de permisos de rodaje  Información sobre gestores, procedimientos, tarifas y buenas prácticas para la obtención de permisos de rodaje en espacios municipales, así como localizaciones institucionales y privadas. Madrid Film Office no tiene autoridad para dar los permisos de rodaje en ningún espacio municipal o extramunicipal, actuando únicamente como una oficina de orientación en la búsqueda del titular correspondiente y de apoyo en el proceso de petición de los permisos. En el caso de los espacios municipales:  Los permisos de rodaje en vía pública, parques y jardines los otorga el Negociado de Autorizaciones de Rodaje, perteneciente al Área de Gobierno de Medio Ambiente y Movilidad. Cuenta con dos tipos de permisos de rodaje, que se pueden solicitar electrónica o presencialmente en sus oficinas (C/ Albarracín, 33). Los permisos de rodaje en edificios e instalaciones municipales los otorgan los diferentes y múltiples órganos municipales de los que son competencia. Por ejemplo, los centros deportivos y culturales municipales suelen gestionarlos las Juntas Municipales de Distrito en las que se ubican, los cementerios municipales los gestiona la Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, etc.   3. Asistencia en la gestión de servicios municipales  Mediación entre el sector audiovisual y el amplio abanico de departamentos municipales con el que pueden necesitar contactar y colaborar (alumbrado, zonas verdes, mobiliario urbano, etc.). En este sentido, conocidos los servicios que el productor necesita, Madrid Film Office se presta a ayudar en:  La búsqueda de los posibles interlocutores municipales implicados. El estudio de la viabilidad de la petición solicitada. La coordinación entre empresa y departamento municipal.   4.  Información sobre empresas y profesionales del sector audiovisual   Madrid Film Office pone a disposición de los interesados un directorio de profesionales y de empresas del sector audiovisual en Madrid:   Empresas: https://madridfilmoffice.com/directorio-empresas/  Profesionales: https://madridfilmoffice.com/directorio-profesionales/";"Metro: Sol (líneas 1, 2, 3), Ópera (línea 2, 5, Ramal)  Bus: 50, 31, 65, SE712, 17, 002, 35, 18, 23  Renfe: Sol.  Bicimad: Estación 32 (plaza Provincia, 1) / estación 31 (calle Mayor, 20)  Aparcamiento: Plaza Mayor (55), Plaza Mayor";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b72a196f7d003610VgnVCM2000001f4a900aRCRD";"MAYOR";"PLAZA";"V";"27";"";"";"";"Casa de la Panadería";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"439983";"4474154";"40.41583855082183";"-3.7074257084323636";"913 184 588";"";"info@madridfilmoffice.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7836;"Oficina Joven Comunidad de Madrid. TIVE. Moncloa";"";"Con  cita previa , de lunes a viernes:  De 9 a 19 horas de abril a septiembre. De 9 a 14 horas de octubre a marzo.";"Obtención de Carné Joven. Información de carnés: Estudiante (ISIC), Profesor (ITIC), International Youth Travel Card (IYTC), Alberguista. Reservas en albergues juveniles internacionales. Información sobre cursos, becas, idiomas, campamentos, campos de voluntariado, albergues y refugios y voluntariado en Europa. Información sobre Garantía Juvenil.";"Metro: Moncloa (líneas 3 y 6).  Bus: 1, 138, 44, 62, C2, 001, 132, 82, 16, 61, 133, 83, G, C1, 161, 46, 160, 162.  Bicimad:  Estaciones 111 a y b (calle Arcipreste de Hita, 12),  110 (paseo de Moret, 2).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=397e19d41471c010VgnVCM1000000b205a0aRCRD";"FERNANDO EL CATOLICO";"CALLE";"V";"88";"";"";"";"";"MADRID";"MADRID";"28015";"1";"GAZTAMBIDE";"7";"CHAMBERI";"439119";"4476224";"40.43442331966472";"-3.717795251173153";"915 437 412";"";"correo.cridj@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"; 
10127255;"Oficina de Turismo de Andalucía en Madrid";"";"";"";"Metro: Goya (líneas 2, 4), O'Donnell (línea 6), Príncipe de Vergara (líneas 2, 9)   Bus: 30, C1, E4, 146, 21, 43, 53, 26, 61, E5, 215, C2, 152, 63    Bicimad: Estación 100 (calle Goya, 99)   Aparcamiento: Felipe II (26), avenida. Felipe II y calle Goya)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d0abc974d4ae6510VgnVCM1000001d4a900aRCRD";"FELIPE II";"AVENIDA";"V";"15";"1ª";"";"";"";"MADRID";"MADRID";"28009";"2";"GOYA";"4";"SALAMANCA";"442841";"4475057";"40.424183525039";"-3.673810495427334";"912 031 200";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
27402;"Oficina de Turismo de Andorra";"";"";"";"Metro: Retiro (línea 2), Serrano (línea 4), Banco de España (línea 2)  Autobuses: 28, 1, 146, 15, 19, 2, 20, 51, 52, 74, 9  Bicimad: Estación 60 (Plaza de la Independencia, 6) / estación 107 (calle Serrano, 8)  Cercanias: Recoletos (C1, C2, C7, C8, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb68444a2951c010VgnVCM2000000c205a0aRCRD";"ALCALA";"CALLE";"V";"73";"";"";"";"";"MADRID";"MADRID";"28009";"1";"RECOLETOS";"4";"SALAMANCA";"441686";"4474654";"40.420463942385524";"-3.6873880759267004";"914 317 453 / 900 834 804";"";"info.es@visitandorra.com";"/contenido/entidadesYorganismos/OficinasTurismo"; 
127469;"Oficina de Turismo de Brasil";"";"";"";"Metro: Alonso Martínez (líneas 4, 5, 10), Rubén Darío (línea 5), Colón (línea 4)  Bus: 7  Cercanías: Recoletos (C1, C2, C7, C8, C10)  Aparcamiento: Almagro (12), calle Almagro, 11";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b15d47048781c010VgnVCM1000000b205a0aRCRD";"ALMAGRO";"CALLE";"V";"28";"2ª";"";"";"";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441238";"4475736";"40.43017960044132";"-3.692768600492918";"917 004 650";"";"secom.madrid@itamaraty.gov.br";"/contenido/entidadesYorganismos/OficinasTurismo"; 
1637;"Oficina de Turismo de Galicia en Madrid";"";"Consultar.";"";"Bus: 19  Bicimad: Estación 68 (calle Espalter, 1)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b6f40a47f441f010VgnVCM2000000c205a0aRCRD";"CASADO DEL ALISAL";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28014";"5";"LOS JERONIMOS";"3";"RETIRO";"441408";"4473920";"40.413841115871094";"-3.6906090973201957";"915 954 214";"915 954 268";"ot.gal.madrid@xunta.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
6416785;"Oficina de Turismo de Guatemala";"";"";"";"Metro: Cuzco (línea 10)  Bus: 147, 27, 5, 11, 40";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df5f44e4373f6310VgnVCM1000000b205a0aRCRD";"CASTELLANA";"PASEO";"V";"178";"6";"IZQUIERDA";"";"";"MADRID";"MADRID";"28046";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"441569";"4479133";"40.46081583825652";"-3.689177427623146";"913 440 347 / 913 441 417";"";"turismo@embajadaguatemala.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
39693;"Oficina de Turismo de Irán";"";"";"";"Metro: Avenida de América (líneas 4, 6, 7, 9), Gregorio Marañón (líneas 7, 10), Núñez de Balboa (líneas 5, 9)  Bus: 16, 19, 51, 9, 12  Bicimad: Estación 140 (calle Velázquez, 130)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66e6e7510551c010VgnVCM2000000c205a0aRCRD";"MARIA DE MOLINA";"CALLE";"V";"26";"1ª";"IZQUIERDA";"";"";"MADRID";"MADRID";"28006";"6";"CASTELLANA";"4";"SALAMANCA";"441920";"4476551";"40.4375784193194";"-3.6848033506224906";"915 643 613";"";"iran@iransara.es";"/contenido/entidadesYorganismos/OficinasTurismo"; 
7823;"Oficina de Turismo de Italia";"";"";"";"Metro: Nuevos Ministerios (líneas 6, 8, 10)  Bus: 14, 126, 147, 150, 27, 40, 7, C2, C1  Cercanías: Nuevos Ministerios (C1, C2, C3, C4, C7, C8)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b2d19d41471c010VgnVCM1000000b205a0aRCRD";"CASTELLANA";"PASEO";"V";"114";"4.ª";"PUERTA 1";"1";"";"MADRID";"MADRID";"28046";"1";"EL VISO";"5";"CHAMARTIN";"441444";"4477612";"40.44710927364525";"-3.690508838455886";"915 670 670";"";"";"/contenido/entidadesYorganismos/OficinasTurismo"; 
