ERAR_PARAMETRO;Muestra 1_1;Muestra 2_1;Muesta 1_2;Muestra 2_2;Muestra 1_3;Muestra 2_3;Muestra 1_4;Muesta 2_4;Muestra 1_5;Muestra 2_5;Muestra 1_6;Muestra 2_6;Muestra 1_7;Muestra 2_7;Muestra 1_8;Muestra 2_8;Muestra 1_9;Muestra 2_9;Muestra 1_10;Muestra 2_10;Muestra 1_11;Muestra 2_11;Muestra 1_12;Muestra 2_12;Muestra 1_13;Muestra 2_13;Muestra 1_14;Muestra 2_14;Muestra 1_15;Muestra 2_15;Muestra 1_16;Muestra 2_16;Muestra 1_17;Muestra 2_17;Muestra 1_18;Muestra 2_18;Muestra 1_19;Muestra 2_19;Muestra 1_20;Muestra 2_20;Muestra 1_21;Muestra 2_21;Muestra 1_22;Muestra 2_22;Muestra 1_23;Muestra 2_23;Muestra 1_24;Muestra 2_24;Muestra 1_25;Muestra 2_25;Muesta 1_26;Muestra 2_26;Muestra 1_27;Muestra 2_27;Muestra 1_28;Muesta 2_28;Muestra 1_29;Muestra 2_29;Muestra 1_30;Muestra 2_30;Muestra 1_31;Muestra 2_31;Muestra 1_32;Muestra 2_32;Muestra 1_33;Muestra 2_33;Muestra 1_34;Muestra 2_34;Muestra 1_35;Muestra 2_35;Muestra 1_36;Muestra 2_36;Muestra 1_37;Muestra 2_37;Muestra 1_38;Muestra 2_38;Muestra 1_39;Muestra 2_39;Muestra 1_40;Muestra 2_40;Muestra 1_41;Muestra 2_41;Muestra 1_42;Muestra 2_42;Muestra 1_43;Muestra 2_43;Muestra 1_44;Muestra 2_44;Muestra 1_45;Muestra 2_45;Muestra 1_46;Muestra 2_46;Muestra 1_47;Muestra 2_47;Muestra 1_48;Muestra 2_48;Muestra 1_49;Muestra 2_49;Muestra 1_50;Muestra 2_50;Muestra 1_51;Muestra 2_51;Muestra 1_52;Muestra 2_52;;
VIV_Turb;1,10;1,20;1,40;1,30;1,20;1,50;1,30;1,40;1,40;1,30;1,40;1,30;1,10;1,10;1,60;1,50;1,60;1,80;2,40;2,20;2,00;1,80;1,80;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHI_Turb;0,79;1,20;1,10;1,20;0,93;1,20;1,20;1,10;1,10;1,30;1,10;1,10;1,10;1,10;1,30;1,00;0,95;1,30;0,97;0,90;0,92;0,96;1,10;0,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAV_Turb;2,60;2,10;2,10;2,10;3,70;2,10;2,50;2,40;2,80;2,80;2,50;2,20;2,40;2,90;3,40;3,30;3,50;3,50;6,70;3,50;3,00;2,40;3,60;5,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REJ_Turb;1,50;1,90;2,50;2,60;2,40;3,10;2,60;3,10;2,30;2,20;1,60;1,70;1,90;3,10;4,40;2,50;2,10;2,10;2,00;2,00;1,10;0,98;0,96;0,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIV_Ecoli;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHI_Ecoli;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAV_Ecoli;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REJ_EColi;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIV_Leg;;;;;;;;N.D.;;;;;;;;N.D.;;;;;;;;N.D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHI_Leg;;;;;;;;N.D.;;;;;;;;N.D.;;;;;;;;N.D.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
