AÑO,MES,ID,TIPOEDIFICIO,EDIFICIO,DIRECCION,DISTRITO,CÓDIGO DISTRITO,BARRIO,CÓDIGO BARRIO,COORDENADA-X,COORDENADA-Y,LONGITUD,LATITUD,SENSOR,TIPO,CLASE,GRUPO,UNIDADES,CONSUMO
2020,3,2258,Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,11,SAN ISIDRO,113,"438873,92","4472154,36",-3.7202936410904,40.3977521494866,AMBIBAMMATUTE_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,13099
2020,3,2258,Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,11,SAN ISIDRO,113,"438873,92","4472154,36",-3.7202936410904,40.3977521494866,AMBIBAMMATUTE_General,Externo,Energia Reactiva,Reactiva tarifa 3.1A,kVAr,104
2020,3,2178,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,"434962,85","4472100,21",-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,9688
2020,3,2178,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,"434962,85","4472100,21",-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.1A,kVAr,4262
2020,3,2178,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,"434962,85","4472100,21",-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Gas_General,Externo,Gas,Gas,m3,0
2020,3,2096,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,JERÓNIMOS,35,"442401,74","4474247,41",-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,14630
2020,3,2096,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,JERÓNIMOS,35,"442401,74","4474247,41",-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.1A,kVAr,4173
2020,3,2096,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,JERÓNIMOS,35,"442401,74","4474247,41",-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Gas_General,Externo,Gas,Gas,m3,"1266,7"
2020,3,1208,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,18,CASCO HISTÓRICO DE VALLECAS,181,"447143,05","4469885,64",-3.6226612333620114,40.378016410030774,AMBIBGDIEGO_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,4308
2020,3,1208,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,18,CASCO HISTÓRICO DE VALLECAS,181,"447143,05","4469885,64",-3.6226612333620114,40.378016410030774,AMBIBGDIEGO_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.0A,kVAr,1449
2020,3,1208,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,18,CASCO HISTÓRICO DE VALLECAS,181,"447143,05","4469885,64",-3.6226612333620114,40.378016410030774,AMBIBGDIEGO_Gas_General,Externo,Gas,Gas,m3,"1376,2"
2020,3,1526,Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,20,ROSAS,205,"448214,3","4476029,82",-3.610550602425999,40.433453540244685,AMBIBJHIERRO_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,2751
2020,3,1526,Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,20,ROSAS,205,"448214,3","4476029,82",-3.610550602425999,40.433453540244685,AMBIBJHIERRO_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.0A,kVAr,80
2020,3,1526,Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,20,ROSAS,205,"448214,3","4476029,82",-3.610550602425999,40.433453540244685,AMBIBJHIERRO_Gas_General,Externo,Gas,Gas,m3,"5,7"
2020,3,509,Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,15,VENTAS,151,"444705,59","4474960,04",-3.6512062299873125,40.4234957928842,AMBIBIFILIPINAS_Electricidad_General - AMBIBIFILIPINAS_Electricidad_CentroMayores - AMBIBIFILIPINAS_Electricidad_SocioCultural,Procesado,Energia Activa,Ninguno,kWh,995
2020,3,509,Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,15,VENTAS,151,"444705,59","4474960,04",-3.6512062299873125,40.4234957928842,"AMBIBIFILIPINAS_Gas_General*0,429",Procesado,Gas,Gas,m3,"1376,21055"
2020,3,509,Centros culturales y bibliotecas,Biblioteca La Elipa - Islas Filipinas,"CALLE NUESTRA SEÑORA DEL VILLAR, 6 28017 MADRID",CIUDAD LINEAL,15,VENTAS,151,"444705,59","4474960,04",-3.6512062299873125,40.4234957928842,AMBIBIFILIPINAS_Gas_General,Externo,Gas,Gas,m3,"3208,74"
2020,3,2204,Centros culturales y bibliotecas,Biblioteca María Lejárraga,"CALLE PRINCESA DE EBOLI, 29 28050 MADRID",HORTALEZA,16,VALDEFUENTES,166,"444461,6","4482377,51",-3.655405015918612,40.49055520560343,"AMBIBMLEJARRAGA_Electricidad_General* 0,1444",Procesado,Energia Activa,Ninguno,kWh,"4576,1804"
2020,3,941,Centros culturales y bibliotecas,Biblioteca Mario Vargas Llosa,"CALLE BARCELO, 4 28004 MADRID",CENTRO,1,JUSTICIA,14,"440674,55","4475361,07",-3.6990826662067344,40.42683538680111,AMBIBMVLLOSA_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,3536
2020,3,941,Centros culturales y bibliotecas,Biblioteca Mario Vargas Llosa,"CALLE BARCELO, 4 28004 MADRID",CENTRO,1,JUSTICIA,14,"440674,55","4475361,07",-3.6990826662067344,40.42683538680111,AMBIBMVLLOSA_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.0A,kVAr,1190
2020,3,850,Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,14,MEDIA LEGUA,144,"444589,53","4473440,92",-3.6530587077141,40.4097421858525,AMBIBMDELIBES_Electricidad_General,Externo,Energia Activa,Activa Interruptor Gral,kWh,5930
2020,3,850,Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,14,MEDIA LEGUA,144,"444589,53","4473440,92",-3.6530587077141,40.4097421858525,AMBIBMDELIBES_Electricidad_General,Externo,Energia Reactiva,Reactiva tarifa 3.1A,kVAr,1259
2020,3,850,Centros culturales y bibliotecas,Biblioteca Miguel Delibes,"CALLE ARROYO BELINCOSO, 11 (JUNTO A CENTRO CULTURAL EDUARDO CHILLIDA) 28030 MADRID",MORATALAZ,14,MEDIA LEGUA,144,"444589,53","4473440,92",-3.6530587077141,40.4097421858525,AMBIBMDELIBES_Gas_General,Externo,Gas,Gas,m3,"1481,7"
2020,3,702,Centros culturales y bibliotecas,Biblioteca Pablo Neruda,"CALLE ASCAO, 4 28017 MADRID",CIUDAD LINEAL,15,PUEBLO NUEVO,152,"445565,18",4475620,-3.641334923876934,40.42963395178173,AMBIBPABLONERUDA_Electricidad_General-AMBIBPABLONERUDA_Centro_Dia,Procesado,Energia Activa,Ninguno,kWh,4523
