SUBMISION,DIRECCION,TELEFONO,EMAIL
7902770,"CALLE CONDE DUQUE 11, 28015",91 588 57 24,dbibliotecaspublicas@madrid.es
8053214,"CALLE GALILEO 39, 28015",91 591 39 01,dbibliotecaspublicas@madrid.es
11737758,"CALLE LEONOR GONGORA 19, 28021",91 588 41 81,dbibliotecaspublicas@madrid.es
25526,"CALLE RAFAEL FINAT 51, 28044",915 093 625,bib.latina@madrid.org
1774,"CALLE DOCTOR ESQUERDO 189, 28007",915 019 146,bib.retiro@madrid.org
1770,"CALLE ABERTURA 2, 28033
",917 633 284,bib.hortaleza@madrid.org
1771,"CALLE QUINTANA 9,28008",915 413 619,bib.acuna@madrid.org
123303,"AV. RAFAELA YBARRA 43, 28026",914 229 501,bib.usera@madrid.org
1764,"CALLE FELIPE EL HERMOSO 4, 28010",914 459 782,bib.chamberi@madrid.org
181101,"PLAZA ANTONIO MARIA SEGOVIA 2,28031",912 760 231,bib.villavallecas@madrid.org
5765642,"CALLE ANTONIA RODRIGUEZ SACRISTAN 7, 28044",912 760 233,bib.carabanchel@madrid.org
86719,"CALLE VILLALONSO 16,28021",917 230 194,bib.villaverde@madrid.org
1800,"AV. RAFAEL ALBERTI 36, 28018",913 033 195,bib.vallecas@madrid.org
1773,"CALLE CORREGIDOR ALONSO DE TOBAR 5, 28030",914 394 688,bib.moratalaz@madrid.org
1757,"CALLE CAMARENA 10, 28047",91 719 89 96,bpaluche@madrid.es
1755,"CALLE ISAAC ALBENIZ 1, 28019",91 588 08 30,bpanammatute@madrid.es
1882,"CALLE CONDE DUQUE 9, 28015",91 588 59 10,bpperezgaldos@madrid.es
1745,"CALLE BOLTAÑA 23,28022",91 741 11 34,bpcanillejas@madrid.es
1794,"CALLE HERMANOS GARCIA NOBLEJAS 14, 28037",915 887 566,bpciudadlineal@madrid.es
1762,"AV. TOREROS 5, 28028",91 724 08 04,bpdavidgistau@madrid.es
51188,"CALLE MANUEL FERRERO 1, 28036",91 350 31 50,bpdamasoalonso@madrid.es
6893633,"PASEO FERNÁN NÚÑEZ 24,28009",91 480 48 38,bpeugeniotrias@madrid.es
167128,"BULEVAR INDALECIO PRIETO 21,28032",91 301 64 66,bpfranciscoayala@madrid.es
1760,"CALLE MANTUANO 51, 28002",91 510 37 56,bpfranciscoibanez@madrid.es
1754,"PLAZA PUEBLO 2, 28041",91 318 86 91,bpgarciamarquez@madrid.es
1748,"CALLE MONTE AYA 12, 28031",91 380 66 33,bpgerardodiego@madrid.es
79941,"AV. LOGROÑO 179, 28042",91 312 02 58,bpgloriafuertes@madrid.es
1750,"CALLE MAR DE LAS ANTILLAS 10, 28033",91 764 52 43,bphuertasalud@madrid.es
5975465,"CALLE SAN JUSTO 5, 28005",917 586 211,bpivandevargas@madrid.es
115056,"CALLE MARIA SEVILLA DIAGO 15, 28022",91 313 55 28,bpjosehierro@madrid.es
1790,"AV. MONFORTE DE LEMOS 38, 28029",91 588 68 91,bpjosesaramago@madrid.es
1756,"CALLE GENERAL RICARDOS 252, 28025",91 422 05 33,bplachata@madrid.es
51849,"CALLE NUESTRA SEÑORA DEL VILLAR 6, 28017",91 403 63 22,bplaelipa@madrid.es
185595,"CALLE FRANCOS RODRIGUEZ 67, 28039","91 398 07 23                                                                                                                                     
91 398 07 26",bpvazquezmontalban@madrid.es
7697128,"CALLE BARCELO 4, 28004",914 802 433,bpvargasllosa@madrid.es
10395362,"CALLE PRINCESA DE EBOLI 29, 28050",91 513 33 83,bpmarialejarraga@madrid.es
1759,"PLAZA DONOSO 5, 28029",91 733 90 43,bpmariazambrano@madrid.es
1752,"CALLE ARROYO BELINCOSO 11, 28030",91 328 73 00,bpmigueldelibes@madrid.es
186714,"CALLE ASCAO 4, 28017",91 406 14 72,bppabloneruda@madrid.es
1753,"CALLE CANTALAPIEDRA 11, 28038",91 757 03 23,bpportazgo@madrid.es
1792,"AV. GLORIETAS 19, 28053",91 507 07 34,bppozotr@madrid.es
1763,"CALLE ARGANDA 12, 28005",91 474 16 03,bppiobaroja@madrid.es
1746,"CALLE SAN ROMAN DEL VALLE 8, 28037",91 313 52 97,bpsanblas@madrid.es
11572165,"AV. SAN FERMIN 10, 28041",91 480 47 25,bpsanfermin@madrid.es
1761,"CALLE PUERTO DEL MONASTERIO 1, 28053",91 588 60 51,bpvallecas@madrid.es
1747,"CALLE VILLARDONDIEGO 36, 28032",91 775 31 43,bpvicalvaro@madrid.es
5768564,"CALLE GRANJA DE TORREHERMOSA 1, 28024",91 512 35 42,bpangelgonzalez@madrid.es
1798,"GLORIEBTA PUERTA DE TOLEDO 1, 28005",913 665 407,bib.centro@madrid.org
66904,"CALLE SANGENJO 38, 28034",917 319 552 / 917 319 553,bib.fuencarral@madrid.org
1777,"CALLE RAIMUNDO FERNANDEZ VILLAVERDE 6, 28003",915 349 029,bib.ruizegea@madrid.org
1765,"CALLE AZCONA 42, 28028",917 263 701,bib.salamanca@madrid.org
