"Nombre","Descripción","Tipo","Dirección","Latitud","Longitud"
"14. Monumento a Juan Belmonte. Fecha:1972. Autor: Venancio Blanco.","<p>&nbsp;</p>
<p>Monumento dedicado al torero Juan Belmonte, apodado &ldquo;El Pasmo de Triana&rdquo;.</p>
","A Orillas del Guadalquivir","Plaza del Altozano",37.385355,-6.003013
"13. Edificio de la farmacia Murillo. Fecha: 1912. Autor: José Espiau y Muñoz.","<p>&nbsp;</p>
<p>Edificio de estilo regionalista,la farmacia se establece por Francisco Murillo Hern&aacute;ndez a mediados del siglo XIX.</p>
","A Orillas del Guadalquivir","Plaza del Altozano, 15 y 16",37.385063,-6.003412
"12. Monumento al Arte Flamenco. Fecha: 1993. Autor: Jesús Gavira Alba. ","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Escultura que representa las tres vertientes del mundo flamenco: el baile, el cante y el toque.</p>
","A Orillas del Guadalquivir","Plaza del Altozano",37.385355,-6.003013
"11. Castillo de San Jorge. ","<p>&nbsp;</p>
<p>Centro de Interpretaci&oacute;n, en sus or&iacute;genes sirvi&oacute; de fortificaci&oacute;n medieval y m&aacute;s tarde como sede de la Inquisici&oacute;n.</p>
","A Orillas del Guadalquivir","Plaza del Altozano",37.385742,-6.003049
"10. Capilla del Carmen. Fecha: 1928. Autor:  Aníbal Gónzalez..","<p>&nbsp;</p>
<p style=""margin-left:-6.0pt;"">La capilla es sede de la Hermandad de Gloria. Este edificio se compone de capilla y campanario de planta octogonal.</p>
","A Orillas del Guadalquivir","Plaza del Altozano",37.385731,-6.003046
"09. Puente de Triana. Fecha:1945-1952. Autores: Gustavo Steinacher y Ferdinand Bennetot.","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"" style=""margin-left: -6pt;"">&nbsp;&nbsp; Moderna construcci&oacute;n de hierro que sustituy&oacute; al primitivo Puente de Barcas.</p>
","A Orillas del Guadalquivir","Puente de Triana",37.386235,-6.002445
"08. Monumento ecuestre a María de las Mercedes. Fecha: 2008. Autor: Miguel García Delgado. ","<p>&nbsp;</p>
<p>Monumento realizado en honor a Su Alteza Real Do&ntilde;a Mar&iacute;a de las Mercedes de Borb&oacute;n y Orleans.</p>
","A Orillas del Guadalquivir","Paseo de Cristobal Colón",37.386588,-6.000525
"07. La Casa de la Real Maestranza de Caballería. Fecha: 1927-1930. Autor: Aníbal González.","<p>&nbsp;</p>
<p>Cuerpo nobiliario cuyo Hermano Mayor es S.M. el Rey. Corporaci&oacute;n&nbsp; con vocaci&oacute;n de servicio a la Corona y sociedad.</p>
","A Orillas del Guadalquivir","Paseo de Cristóbal Colón, 12",37.385863,-5.99927
"06. Monumento a Curro Romero. Fecha: 2001. Autor: Sebastián Santos Calero.","<p>&nbsp;</p>
<p>Monumento que homenajea la figura del maestro Francisco Romero L&oacute;pez torero conocido como &laquo;Curro Romero&raquo;.</p>
","A Orillas del Guadalquivir","Paseo de Cristóbal Colón",37.385633,-5.999173
"05. La Real Plaza de Toros.","<p>&nbsp;</p>
<p>Ejemplo de arquitectura taurina y un escenario fundamental en la evoluci&oacute;n de la Fiesta de los Toros. Consecuencia de una obra que dur&oacute; 120 a&ntilde;os.</p>
","A Orillas del Guadalquivir","Paseo de Cristobal Colón,12",37.385956,-5.998411
