provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2022;10;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;3;V;3;V;3;V;3;V;3;V
28;102;1;6;28102001_6_48;2022;10;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V
28;102;1;7;28102001_7_8;2022;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2022;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;3;V;2;V;2;V
28;102;1;10;28102001_10_49;2022;10;1;3;V;3;V;5;V;4;V;3;V;3;V;6;V;2;V;1;V;5;V;2;V;2;V;4;V;6;V;6;V;9;V;9;V;13;V;16;V;8;V;8;V;4;V;5;V;9;V
28;102;1;12;28102001_12_8;2022;10;1;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;5;V;5;V;5;V;4;V;4;V
28;102;1;14;28102001_14_6;2022;10;1;74;V;75;V;74;V;70;V;67;V;59;V;59;V;48;V;46;V;71;V;83;V;90;V;89;V;94;V;97;V;97;V;97;V;98;V;100;V;102;V;103;V;101;V;98;V;84;V
28;120;1;7;28120001_7_8;2022;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2022;10;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V
28;120;1;9;28120001_9_49;2022;10;1;1;V;1;V;1;V;4;V;2;V;1;V;1;V;3;V;6;V;7;V;6;V;6;V;10;V;10;V;8;V;9;V;8;V;6;V;3;V;3;V;3;V;2;V;1;V;3;V
28;120;1;10;28120001_10_49;2022;10;1;4;V;4;V;4;V;6;V;5;V;3;V;3;V;3;V;4;V;5;V;5;V;5;V;6;V;7;V;7;V;6;V;7;V;6;V;6;V;6;V;6;V;5;V;3;V;4;V
28;120;1;12;28120001_12_8;2022;10;1;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;6;V;5;V;5;V;5;V;5;V
28;120;1;14;28120001_14_6;2022;10;1;65;V;65;V;64;V;62;V;65;V;60;V;58;V;65;V;77;V;87;V;83;V;86;V;92;V;97;V;101;V;102;V;101;V;84;V;85;V;90;V;76;V;70;V;87;V;93;V
28;123;2;7;28123002_7_8;2022;10;1;10;V;15;V;3;V;2;V;4;V;8;V;13;V;16;V;14;V;9;V;4;V;2;V;1;V;1;V;1;V;1;V;2;V;5;V;25;V;37;V;44;V;23;V;13;V;15;V
28;123;2;8;28123002_8_8;2022;10;1;49;V;47;V;35;V;40;V;37;V;36;V;34;V;25;V;20;V;19;V;13;V;9;V;5;V;4;V;5;V;7;V;13;V;39;V;78;V;85;V;88;V;75;V;68;V;67;V
28;123;2;10;28123002_10_49;2022;10;1;18;V;19;V;18;V;15;V;12;V;12;V;14;V;14;V;16;V;15;V;11;V;7;V;5;V;3;V;3;V;3;V;2;V;8;V;13;V;17;V;22;V;23;V;23;V;22;V
28;123;2;12;28123002_12_8;2022;10;1;65;V;70;V;40;V;44;V;43;V;48;V;53;V;49;V;41;V;33;V;19;V;13;V;7;V;6;V;7;V;9;V;16;V;46;V;116;V;141;V;155;V;110;V;87;V;89;V
28;123;2;14;28123002_14_6;2022;10;1;5;V;4;V;8;V;7;V;4;V;2;V;4;V;16;V;27;V;44;V;65;V;77;V;85;V;92;V;97;V;101;V;96;V;68;V;19;V;11;V;5;V;8;V;8;V;5;V
28;13;2;7;28013002_7_8;2022;10;1;2;V;2;V;2;V;2;V;2;V;2;V;3;V;5;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;3;V;8;V;5;V;3;V;2;V;2;V
28;13;2;8;28013002_8_8;2022;10;1;16;V;11;V;8;V;6;V;6;V;7;V;7;V;7;V;6;V;5;V;4;V;5;V;4;V;3;V;3;V;3;V;4;V;16;V;52;V;66;V;56;V;29;V;23;V;11;V
28;13;2;10;28013002_10_49;2022;10;1;19;V;15;V;14;V;16;V;10;V;10;V;8;V;9;V;7;V;12;V;4;V;4;V;3;V;4;V;1;V;2;V;4;V;10;V;15;V;22;V;31;V;33;V;24;V;18;V
28;13;2;12;28013002_12_8;2022;10;1;19;V;14;V;11;V;9;V;9;V;10;V;11;V;14;V;12;V;10;V;7;V;8;V;7;V;5;V;6;V;5;V;6;V;18;V;56;V;79;V;64;V;32;V;26;V;14;V
28;13;2;14;28013002_14_6;2022;10;1;28;V;31;V;31;V;29;V;27;V;26;V;23;V;27;V;38;V;51;V;72;V;81;V;93;V;99;V;102;V;104;V;104;V;86;V;39;V;16;V;16;V;34;V;33;V;41;V
