PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2022;09;30;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;N;6;V;6;V;5;V;5;V;5;V;5;V;5;N;5;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;6;28079004_6_48;2022;09;30;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;N;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.1;N;0.1;V;0.1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;7;28079004_7_8;2022;09;30;3;V;2;V;1;V;2;V;1;V;1;V;2;V;15;V;10;N;37;V;30;V;17;V;8;V;5;V;5;V;6;N;3;V;4;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;8;28079004_8_8;2022;09;30;24;V;7;V;3;V;4;V;4;V;5;V;15;V;52;V;49;N;57;V;51;V;35;V;18;V;10;V;8;V;9;N;7;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;12;28079004_12_8;2022;09;30;28;V;10;V;5;V;7;V;6;V;7;V;18;V;75;V;64;N;114;V;97;V;60;V;30;V;18;V;16;V;18;N;12;V;15;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;1;28079008_1_38;2022;09;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;6;28079008_6_48;2022;09;30;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.3;V;0.5;V;0.6;V;0.4;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;7;28079008_7_8;2022;09;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;10;V;37;V;38;V;47;V;15;V;6;V;4;V;4;V;3;V;3;V;4;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;8;28079008_8_8;2022;09;30;20;V;10;V;5;V;5;V;5;V;6;V;11;V;39;V;63;V;60;V;59;V;35;V;19;V;11;V;12;V;10;V;9;V;14;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;9;28079008_9_47;2022;09;30;5;V;2;V;1;V;1;V;1;V;1;V;5;V;2;V;4;V;5;V;6;V;9;V;7;V;6;V;3;V;5;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;10;28079008_10_47;2022;09;30;7;V;3;V;2;V;2;V;2;V;2;V;6;V;3;V;10;V;13;V;13;V;15;V;13;V;12;V;6;V;8;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;12;28079008_12_8;2022;09;30;22;V;12;V;7;V;6;V;6;V;7;V;13;V;55;V;120;V;119;V;130;V;57;V;28;V;17;V;18;V;15;V;13;V;19;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;14;28079008_14_6;2022;09;30;44.85;V;50.96;V;64.5;V;63.57;V;65.26;V;63.39;V;56.75;V;29.07;V;8.33;V;14.33;V;21.03;V;41.91;V;56.79;V;66.39;V;67.87;V;70.37;V;71.47;V;67.66;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;20;28079008_20_59;2022;09;30;1.5;V;0.6;V;0.7;V;0.7;V;0.1;V;0.1;V;0.2;V;0.4;V;1.9;V;5.4;V;4;V;2.2;V;2.7;V;3.3;V;2.5;V;1;V;0.8;V;0.5;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;30;28079008_30_59;2022;09;30;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.5;V;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0;N;0;N;0;N;0;N;0;N;0;N
